https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1771027140000,2026-02-13 23:59:00,BTCUSDT,68890.01,68903.28,68829.24,68853.96,12.11975,834712.6147017,1248
1771027080000,2026-02-13 23:58:00,BTCUSDT,68900.1,68907.73,68890.01,68890.01,7.01054,483026.723538,642
1771027020000,2026-02-13 23:57:00,BTCUSDT,68908.88,68915.84,68899.0,68899.96,4.616,318054.8450287,930
1771026960000,2026-02-13 23:56:00,BTCUSDT,68900.0,68908.89,68896.0,68908.89,1.2465,85884.4329968,535
1771026900000,2026-02-13 23:55:00,BTCUSDT,68868.01,68900.0,68860.3,68900.0,4.92026,338866.3682394,1046
1771026840000,2026-02-13 23:54:00,BTCUSDT,68871.5,68887.17,68866.0,68868.01,5.65885,389760.7013969,1097
1771026780000,2026-02-13 23:53:00,BTCUSDT,68910.7,68910.7,68829.2,68871.5,9.71132,668695.755322,2303
1771026720000,2026-02-13 23:52:00,BTCUSDT,68903.18,68910.7,68900.7,68910.7,1.21844,83956.8640404,594
1771026660000,2026-02-13 23:51:00,BTCUSDT,68893.44,68905.88,68888.0,68903.18,2.30525,158820.1654526,1047
1771026600000,2026-02-13 23:50:00,BTCUSDT,68909.26,68909.27,68893.43,68893.44,0.98329,67746.3131912,496
1771026540000,2026-02-13 23:49:00,BTCUSDT,68919.14,68927.38,68874.03,68909.27,8.71956,600794.995139,1149
1771026480000,2026-02-13 23:48:00,BTCUSDT,68937.4,68946.0,68919.13,68919.14,3.10311,213914.5404807,1104
1771026420000,2026-02-13 23:47:00,BTCUSDT,68901.27,68937.6,68901.26,68937.39,2.22013,152996.2015247,908
1771026360000,2026-02-13 23:46:00,BTCUSDT,68904.41,68908.45,68892.17,68901.27,3.24878,223837.5192116,576
1771026300000,2026-02-13 23:45:00,BTCUSDT,68851.26,68904.42,68851.26,68904.42,5.29513,364683.8586022,1504
