Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Target,RSI,MA5,MA20
1769731200000,2026-01-30,BTCUSDT,84650.16,84735.75,81118.0,84260.49,35195.84793,2918624066.4818316,8998829,78741.09,158.2700329991905,,
1769644800000,2026-01-29,BTCUSDT,89300.0,89348.0,83383.33,84650.16,30431.38201,2610381587.9100037,5598749,84260.49,157.03452880320418,,
1769558400000,2026-01-28,BTCUSDT,89249.99,90600.0,88833.65,89299.99,14332.18502,1283919840.851472,4385791,84650.16,147.1781890557295,,
1769472000000,2026-01-27,BTCUSDT,88347.08,89523.16,87304.33,89250.0,13125.40425,1160026853.5895033,3787336,89299.99,151.60438851843156,,
1769385600000,2026-01-26,BTCUSDT,86670.36,88860.0,86509.63,88347.08,17766.51453,1560135758.989215,4798083,89250.0,162.79674755671343,87161.54400000001,
1769299200000,2026-01-25,BTCUSDT,89225.34,89319.13,86074.72,86670.36,14426.22019,1264233689.8415809,3720178,88347.08,180.2414078842201,87643.51800000001,
1769212800000,2026-01-24,BTCUSDT,89600.26,89957.39,89162.08,89225.34,4226.56737,378464146.0918812,959854,86670.36,160.5460183507591,88558.554,
1769126400000,2026-01-23,BTCUSDT,89559.68,91224.99,88578.36,89600.26,13918.48919,1248772265.678843,4619907,89225.34,163.46177707676128,88618.608,
1769040000000,2026-01-22,BTCUSDT,89454.73,90359.99,88515.37,89559.67,10825.50492,969910623.3559886,3743412,89600.26,116.662858009119,88680.54199999999,
1768953600000,2026-01-21,BTCUSDT,88427.66,90574.0,87263.53,89454.73,20617.50372,1837708115.359704,6419053,89559.67,127.90587455260945,88902.072,
1768780800000,2026-01-19,BTCUSDT,93673.14,93673.14,91910.2,92631.0,14295.52747,1326770336.049047,3359066,89454.73,126.95935362459292,90094.2,
1768694400000,2026-01-18,BTCUSDT,95147.77,95531.12,93615.4,93673.14,6895.17819,654773743.2677119,1488785,92631.0,130.43657885450696,90983.76000000001,
1768608000000,2026-01-17,BTCUSDT,95550.94,95639.45,95021.67,95147.77,4280.80137,408161941.6719079,1020527,93673.14,115.26527594727268,92093.262,
1768521600000,2026-01-16,BTCUSDT,95604.81,95871.47,94293.46,95550.94,11167.7146,1064019408.0772512,2971559,95147.77,116.50913006362342,93291.516,
1768435200000,2026-01-15,BTCUSDT,96951.78,97193.34,95134.48,95604.8,21725.81369,2093008182.8437335,4493095,95550.94,124.46301273501874,94521.53,
